Pokemon,Trainer,Level,Move 1,Move 2,Move 3,Move 4
Crustle,Magma Leader Maxie Mt Chimney,53,Stone Edge,Earthquake,Spikes,Stealth Rock
Crustle,Swimmer♂ Dean,86,Stone Edge,Leech Life,Earthquake,Shell Smash
Crustle,Triathlete Pablo,89,Stone Edge,Earthquake,Shell Smash,Stealth Rock
Cryogonal,Team Aqua Grunt Aqua Hideout #2,78,Ice Beam,Freeze-Dry,Reflect,Light Screen
Cryogonal,Lass Pearl,90,Blizzard,Freeze-Dry,Explosion,Aurora Veil
Cursola,Ninja Boy Keigo,70,Shadow Ball,Explosion,Hydro Pump,Endure
Cursola,Team Aqua Grunt Aqua Hideout #5,80,Shadow Ball,Meteor Beam,Hydro Pump,Trick Room
Darkrai,Elite Four SidneyDouble,100,Dark Pulse,Sludge Bomb,Aura Sphere,Dark Void
Darmanitan,Kindler Keegan,52,Flare Blitz,Zen Headbutt,Rock Slide,Earthquake
Darmanitan,Team Magma Grunt Space Center #2,86,Flare Blitz,Earthquake,Rock Slide,Reversal
Darmanitan,Cool Trainer Michelle,94,Flare Blitz,Earthquake,Zen Headbutt,Rock Slide
Darmanitan-Galar,Aqua Admin ShellySeafloorCavern,88,Icicle Crash,U-turn,,
Decidueye,Ranger Catherine,60,Poltergeist,Leaf Blade,Sucker Punch,Swords Dance
Decidueye,Picnicker Ashley,69,Leaf Blade,Shadow Ball,Brave Bird,Substitute
Decidueye,Ninja Boy Jonas & Fredrick,95,Energy Ball,Shadow Ball,Hidden Power Fire,Tailwind
Decidueye-Hisui,Lass Andrea & Connie,90,Leaf Storm,Close Combat,Leaf Blade,Knock Off
Decidueye-Hisui,Swimmer♀ Carlee & Harrison,90,Close Combat,Leaf Blade,Knock Off,Tailwind
Decidueye-Hisui,Elite Four PhoebeDouble,99,Close Combat,Leaf Blade,Knock Off,Tailwind
Dedenne,Twins Gina And Mia,22,Dazzling Gleam,Electroweb,,
Dedenne,Guitarist Shawn & Angelo,34,Thunderbolt,Dazzling Gleam,Rising Voltage,Grass Knot
Dedenne,Pokéfan Miguel,39,Thunderbolt,Dazzling Gleam,Super Fang,Electric Terrain
Dedenne,Tuber Simon,58,Thunderbolt,Dazzling Gleam,Grass Knot,Endure
Delcatty,Trainer Chelle Daycare,32,Last Resort,Fake Out,,
Delcatty,Trainer Chelle Mt Pyre,75,Last Resort,Fake Out,,
Delibird,Bird Keeper Robert,69,Dual Wingbeat,Triple Axel,,
Delphox,Collector John,45,Psyshock,Mystical Fire,Foul Play,Switcheroo
Delphox,Hiker Eli,55,Flamethrower,Psychic,Grass Knot,Hypnosis
Delphox,Hex Maniac Leah,73,Flamethrower,Psychic,Stored Power,Calm Mind
Delphox,Psychic Virgil & Nate,85,Fire Blast,Psychic,Hypnosis,Psych Up
Delphox,Triathlete Pablo,89,Overheat,Psychic,Laser Focus,Hypnosis
Dewgong,Fisherman Dale,32,Hydro Pump,Freeze-Dry,Ice Shard,Megahorn
Dewgong,Cool Trainer Brooke,44,Blizzard,Drill Run,Protect,Substitute
Dewgong,Swimmer♀ Rose & Deandre,58,Hydro Pump,Freeze-Dry,Drill Run,Fake Out
Dhelmise,Fisherman Andrew,39,Grassy Glide,Shadow Claw,Iron Head,Switcheroo
Dhelmise,Team Magma Grunt Magma Hideout #9,76,Phantom Force,Giga Drain,Anchor Shot,Whirlpool
Dhelmise,Swimmer♀ Grace & Declan,81,Power Whip,Grassy Glide,Shadow Claw,Steel Roller
Dhelmise,Team Aqua Grunt Seafloor Cavern #4,87,Power Whip,Poltergeist,Anchor Shot,Synthesis
Dialga,Trainer Steven Space Center,90,Dragon Pulse,Flamethrower,Aura Sphere,Trick Room
Diggersby,Leader Norman,40,Earthquake,Body Slam,Quick Attack,Foul Play
Diggersby,Hiker Trent,52,High Horsepower,Body Slam,Quick Attack,Swords Dance
Diggersby,Team Magma Grunt Space Center #3,85,Double-Edge,Earthquake,Fire Punch,Knock Off
Ditto,Picnicker Charlotte,54,Transform,,,
Ditto,Ninja Boy Gren,69,Transform,,,
Ditto,Ninja Boy Jack,100,Transform,,,
Dodrio,Triathlete Dylan,30,Drill Peck,Double Hit,Quick Attack,Drill Run
Dodrio,Picnicker Charlotte,48,Brave Bird,Double-Edge,,
Donphan,Picnicker Angelina,48,Earthquake,Stone Edge,Knock Off,Endeavor
Donphan,Magma Grunt Magma Hideout #7 & Grunt 8,76,High Horsepower,Stone Edge,Flail,Natural Gift
Donphan,Cool Trainer Hope & Albert,93,Earthquake,Stone Edge,Knock Off,Endeavor
Donphan,Ninja Boy Jonas & Fredrick,95,High Horsepower,Stone Edge,Ice Shard,Endeavor
Doublade,Cool Trainer Mary,39,Iron Head,Shadow Claw,Head Smash,Sacred Sword
Dracovish,Team Aqua Grunt Mt Pyre #5 & GruntMtPyre6,72,Dragon Rush,Fishious Rend,Psychic Fangs,Crunch
Dracovish,Aqua Admin Matt Aqua Hideout,80,Fishious Rend,,,
Dracozolt,Cool Trainer Cristin,70,Draco Meteor,Dragon Rush,Bolt Beak,Earthquake
Dracozolt,Team Magma Grunt Magma Hideout #6,75,Bolt Beak,Dragon Claw,Iron Tail,Fire Blast
Dragalge,Ranger Lydian,60,Draco Meteor,Sludge Wave,Hydro Pump,Flip Turn
Dragalge,Ranger Jenna,69,Sludge Wave,Dragon Pulse,Scald,Toxic Spikes
Dragalge,Aqua Leader Archie Mt Pyre,75,Dragon Pulse,Sludge Bomb,Focus Blast,Protect
Dragapult,Ruin Maniac Rigger,45,Hex,Dragon Breath,Light Screen,Reflect
Dragapult,Trainer Rival Bridge Swampert,65,Shadow Ball,Breaking Swipe,Hydro Pump,Thunder
Dragapult,Aqua Admin Matt Aqua Hideout,81,Shadow Ball,Dragon Darts,Fire Blast,Hydro Pump
Dragapult,Lady Daphne,89,Dragon Darts,Phantom Force,Aqua Tail,Infestation
Dragapult,Triathlete Darren,95,Dragon Darts,Fire Blast,Thunder,Steel Wing
Dragapult,Elite Four Drake,100,Dragon Darts,Shadow Ball,Fire Blast,Steel Wing
Dragapult,Elite Four DrakeDouble,100,Dragon Darts,Shadow Ball,Light Screen,Reflect
Dragonite,Aqua Admin Shelly Weather Institute,64,Outrage,Dual Wingbeat,Aqua Tail,Fire Punch
Dragonite,Team Aqua Grunt Mt Pyre #2,73,Draco Meteor,Dual Wingbeat,Earthquake,Roost
Dragonite,Bird Keeper Presley & Auron,84,Dragon Rush,Dual Wingbeat,Low Kick,Tailwind
Dragonite,Sis And Bro Lila And Roy,85,Dragon Rush,Dual Wingbeat,Aqua Tail,Thunder Wave
Dragonite,Swimmer♂ Clarence,88,Dragon Claw,Hurricane,Hydro Pump,Thunder
Dragonite,Cool Trainer Shannon,93,Hurricane,Dragon Claw,Hydro Pump,Earthquake
Dragonite,Expert Timothy,97,Dual Wingbeat,Earthquake,Extreme Speed,Dragon Dance
Drampa,Expert Nancy,49,Hyper Voice,Dragon Pulse,Glare,Roost
Drampa,Hiker Eli,55,Hyper Voice,Dragon Pulse,Fire Blast,Roost
Drampa,Team Aqua Grunt Weather Inst #2,60,Dragon Pulse,Hurricane,Surf,Roost
Drampa,Team Magma Grunt Magma Hideout #11,75,Hyper Voice,Flamethrower,Psychic,Calm Mind
Drapion,Cool Trainer Parker,39,Cross Poison,Night Slash,Earthquake,Aqua Tail
Drapion,Camper Merc,52,Cross Poison,Pursuit,Earthquake,Rock Slide
Drapion,Team Aqua Grunt Mt Pyre #4,74,Cross Poison,Night Slash,Aqua Tail,Swords Dance
Drednaw,Hiker Devan,25,Razor Shell,Rock Slide,Crunch,Rock Polish
Drednaw,Team Aqua Grunt Seafloor Cavern #4,86,Liquidation,Stone Edge,Jaw Lock,Stealth Rock
Drednaw,Swimmer♀ Katie,89,Head Smash,Liquidation,,
Drifblim,Guitarist Kirk,33,Hex,Acrobatics,Thunderbolt,Strength Sap
Drifblim,Cool Trainer Gian,69,Air Slash,Explosion,Thunder,Weather Ball
Drifblim,Psychic Preston & Maura,85,Shadow Ball,Acrobatics,Explosion,Silver Wind
Drifblim,Swimmer♂ Rodney,88,Shadow Ball,Explosion,Weather Ball,Thunder Wave
Drifblim,Pokémaniac Hambino,95,Shadow Ball,Acrobatics,Explosion,Hidden Power Fire
Druddigon,Kindler Bernie,48,Dragon Rush,Flamethrower,Iron Head,Glare
Druddigon,Team Magma Grunt Magma Hideout #5,77,Dragon Claw,Gunk Shot,Fire Blast,Glare
Dubwool,Picnicker Carol,53,Mega Kick,Zen Headbutt,Payback,Counter
Dugtrio,Hiker Clark,25,Earthquake,Night Slash,Slash,Double Team
Dugtrio,Triathlete Abigail,34,Earthquake,Stone Edge,Night Slash,Swagger
Dugtrio,Cool Trainer Wilton,44,Earthquake,Stone Edge,Night Slash,Hone Claws
Dugtrio,Expert Nancy,49,Earthquake,Stone Edge,Night Slash,Final Gambit
Dugtrio,Ninja Boy Riley,70,Earthquake,Stone Edge,Final Gambit,Memento
Dugtrio,Magma Admin Courtney Space center,86,Earthquake,Final Gambit,Memento,Stealth Rock
Dugtrio,Expert Mollie & Conor,90,Earthquake,Stone Edge,Pursuit,Reversal
Dugtrio,Cool Trainer Katelynn,94,Earthquake,Stone Edge,Night Slash,Pursuit
Dugtrio,Triathlete Kyra,95,Earthquake,Night Slash,Reversal,Screech
Dugtrio,Dumbass Soupercell,100,Memento,Stealth Rock,,
Dugtrio-Alola,Hiker Clark,25,Earthquake,Iron Head,Stone Edge,Reversal
Dunsparce,Pokémaniac Wyatt,46,Headbutt,Coil,Glare,Roost
Duraludon,Cool Trainer Gian,68,Draco Meteor,Dragon Tail,Heavy Slam,Body Press
Duraludon,Team Magma Grunt Space Center #2,84,Draco Meteor,Heavy Slam,Body Press,Stealth Rock
Durant,Bug Catcher Jose,23,First Impression,Iron Head,X-Scissor,Thunder Fang
Durant,Collector Hector,51,Iron Head,X-Scissor,Rock Slide,Hone Claws
Durant,Ninja Boy Riley,70,X-Scissor,Rock Slide,Superpower,Swords Dance
Durant,Swimmer♀ Katie,88,First Impression,Iron Head,Leech Life,Rock Slide
Dusclops,Hex Maniac Tasha,74,Shadow Punch,Power-Up Punch,Pain Split,Will-O-Wisp
Dusknoir,Ninja Boy Gren,65,Poltergeist,Shadow Sneak,Thunder Punch,Revenge
Dustox,Camper Gavi,17,Venoshock,Infestation,Roost,Toxic
Dwebble,Ruin Maniac Georgie,13,Bug Bite,Rock Blast,Knock Off,Sticky Web
Eelektrik,Camper Gavi,17,Shock Wave,Mega Drain,Super Fang,Toxic
Eelektross,Leader Wattson,34,Thunder Punch,Aqua Tail,Drain Punch,Coil
Eelektross,Cool Trainer Gustavo,70,Thunderbolt,Flamethrower,Grass Knot,Toxic
Eelektross,Team Aqua Grunt Aqua Hideout #2,79,Wild Charge,Aqua Tail,Knock Off,Coil
Eelektross,Swimmer♂ Herman,91,Thunder,Aqua Tail,Sludge Bomb,Super Fang
Eelektross,Cool Trainer Samuel,94,Discharge,Flamethrower,Sludge Bomb,Knock Off
Eiscue,Team Aqua Grunt Aqua Hideout #4,78,Icicle Spear,Head Smash,Aqua Jet,Belly Drum
Eldegoss,Expert Nancy,49,Leaf Storm,Pollen Puff,Leech Seed,Sleep Powder
Electivire,Battle Girl Luna,27,Discharge,Cross Chop,Ice Punch,Fire Punch
Electivire,Psychic Cedric,74,Wild Charge,Psychic,Ice Punch,Hidden Power Grass
Electivire,Team Magma Grunt Magma Hideout #2,75,Wild Charge,Cross Chop,Ice Punch,Magnet Rise
Electivire,Lass Pearl,88,Thunderbolt,Focus Blast,Weather Ball,Magnet Rise
Electivire,Swimmer♂ Zappator,90,Wild Charge,Earthquake,Ice Punch,Weather Ball
Electrode,Breeder Isaac,30,Electro Ball,Foul Play,Flash Cannon,Hidden Power Ice
Electrode,Youngster Ben,34,Explosion,Tri Attack,Signal Beam,Hidden Power Grass
Electrode,Team Magma Grunt Magma Hideout #9,75,Thunderbolt,Explosion,Foul Play,Swagger
Electrode-Hisui,Pokéfan Bethany,90,Thunder,Energy Ball,Explosion,Hidden Power Ice
Elekid,Tuber Chandler,14,Shock Wave,Fire Punch,Ice Punch,Quick Attack
Emboar,Cool Trainer Berke,40,Flare Blitz,Head Smash,Double-Edge,Wild Charge
Emboar,Battle Girl Danielle,55,Flare Blitz,Superpower,Head Smash,Wild Charge
Emolga,Sr. And Jr. Anna And Meg,30,Discharge,,,
Emolga,Winstrate Victor,43,Thunderbolt,Dual Wingbeat,Iron Tail,Roost
Empoleon,Fisherman Claude,48,Waterfall,Flash Cannon,Earthquake,Protect
Empoleon,Bird Keeper Colin,68,Iron Head,Aqua Jet,Drill Peck,Swords Dance
Empoleon,Beauty Tiffany & Olivia,90,Hydro Pump,Flash Cannon,Grass Knot,Sing
Enamorus-Therian,Elite Four Glacia,99,Moonblast,Mystical Fire,Calm Mind,Rest
Entei,Leader Flannery,58,Sacred Fire,Solar Beam,Stone Edge,Extreme Speed
Escavalier,Bug Maniac Taylor,60,Megahorn,Close Combat,Razor Shell,Metal Burst
Escavalier,Team Aqua Grunt Aqua Hideout #3,78,Megahorn,Iron Head,Drill Run,Swords Dance
Escavalier,Cool Trainer Halle,95,Megahorn,Iron Head,Drill Run,Knock Off
Escavalier,Expert Timothy,96,Megahorn,Iron Head,Drill Run,Metal Burst
Espeon,Magma Admin Tabitha Mt Chimney,53,Psychic,Dazzling Gleam,Weather Ball,Morning Sun
Excadrill,Camper Drew,43,High Horsepower,Iron Head,Rock Slide,Rock Polish
Excadrill,Expert Donald,61,High Horsepower,Iron Head,Rock Slide,Rock Polish
Excadrill,Hex Maniac Kathleen & Nicholas,85,Earthquake,Iron Head,Rock Slide,Substitute
Exeggcute,Team Aqua Grunt Petalburg Woods,11,Confusion,Bullet Seed,Leech Seed,Stun Spore
Exeggutor,Team Aqua Grunt Weather Inst #2,60,Psychic,Energy Ball,Explosion,Low Kick
Exeggutor,Psychic William,73,Psychic,Giga Drain,Leech Seed,Substitute
Exeggutor,Magma Grunt Magma Hideout #7 & Grunt 8,77,Solar Beam,Psychic,Ancient Power,Hidden Power Fire
Exeggutor,Team Magma Grunt Space Center #2,85,Psychic,Grass Knot,Explosion,Sleep Powder
Exeggutor,Battle Girl Helene,95,Psychic,Energy Ball,Explosion,Endure
Exeggutor-Alola,Aroma Lady Daisy,38,Wood Hammer,Dragon Hammer,Sleep Powder,Trick Room
Exeggutor-Alola,Trainer Rival Bridge Swampert,66,Wood Hammer,Dragon Hammer,Low Kick,Terrain Pulse
Exeggutor-Alola,Team Aqua Grunt Seafloor Cavern #1,86,Wood Hammer,Explosion,Knock Off,Low Kick
Exeggutor-Alola,Bug Catcher Davis,95,Leaf Storm,Dragon Hammer,Explosion,Low Kick
Exploud,Guitarist Brian,37,Boomburst,,,
Falinks,Swimmer♀ Tisha,88,Close Combat,Poison Jab,Throat Chop,No Retreat
Farfetch’d,Camper Tyron & Celina,32,Brave Bird,Slash,Leaf Blade,Night Slash
Farfetch’d-Galar,Sailor Brenden,18,Rock Smash,Knock Off,Dual Wingbeat,Quick Attack
Fearow,Pokéfan Isabel & Kaleb,38,Return,Drill Peck,Drill Run,Assurance
Fearow,Bird Keeper Perry & Chester,61,Double-Edge,Brave Bird,Drill Run,Focus Energy
Fearow,Team Magma Grunt Magma Hideout #4,76,Brave Bird,Double-Edge,Quick Attack,Drill Run
Feraligatr,Collector Edwin,38,Liquidation,Crunch,Scary Face,Swords Dance
Feraligatr,Pokéfan Bethany,91,Liquidation,Crunch,Ice Punch,Dragon Dance
Ferrothorn,Cool Trainer Alexia,40,Power Whip,Body Press,Leech Seed,Iron Defense
Ferrothorn,Hiker Lenny,50,Power Whip,Gyro Ball,Knock Off,Thunder Wave
Ferrothorn,Hiker Eric & Autumn,53,Power Whip,Gyro Ball,Thunder Wave,Stealth Rock
Ferrothorn,Team Aqua Grunt Weather Inst #2,61,Power Whip,Iron Head,Explosion,Bulldoze
Ferrothorn,Team Aqua Grunt Aqua Hideout #6,80,Gyro Ball,Explosion,Body Press,Curse
Ferrothorn,Team Aqua Grunt Seafloor Cavern #5,87,Gyro Ball,Explosion,Spikes,Stealth Rock
Ferrothorn,Magma Admin Tabitha Space Center,88,Power Whip,Body Press,Knock Off,Leech Seed
Ferrothorn,Cool Trainer Caroline,94,Power Whip,Gyro Ball,Spikes,Stealth Rock
Ferrothorn,Ninja Boy Jack,96,Power Whip,Explosion,Knock Off,Curse
Flaaffy,Tuber Hailey,14,Shock Wave,Fire Punch,Confuse Ray,Thunder Wave
Flapple,Bird Keeper Coby,45,Dragon Pulse,Grav Apple,Acrobatics,Dragon Dance
Flapple,Bird Keeper Hugh,61,Dragon Rush,Grav Apple,Dragon Dance,Substitute
Flapple,Triathlete Aubrey,83,Dragon Claw,Grav Apple,Hidden Power Fire,Dragon Dance
Flapple,Psychic Virgil & Nate,85,Dragon Claw,Grav Apple,Sucker Punch,Substitute
Flareon,Kindler Jeff,56,Flare Blitz,Solar Beam,Facade,Stomping Tantrum
Flareon,Team Magma Grunt Magma Hideout #6,75,Flare Blitz,Flame Charge,Superpower,Facade
Fletchinder,Tuber Lola,14,Aerial Ace,Flame Charge,Steel Wing,
Floatzel,Triathlete Jacob,35,Hydro Pump,Aqua Jet,Focus Blast,Ice Beam
Floatzel,Tuber Simon,58,Aqua Tail,Ice Beam,Knock Off,Switcheroo
Floatzel,Team Aqua Grunt Mt Pyre #2,73,Hydro Pump,Waterfall,Ice Beam,Low Kick
Floatzel,Team Aqua Grunt Aqua Hideout #1,77,Liquidation,Crunch,Ice Punch,Power-Up Punch
Floatzel,Beauty Bridget,90,Hydro Pump,Blizzard,Focus Blast,Taunt
Floette-Eternal,Cool Trainer Berke,40,Light of Ruin,,,
Floette-Eternal,Cool Trainer Halle,94,Light of Ruin,Psychic,Hidden Power Fire,Calm Mind
Florges,Aroma Lady Daisy,39,Dazzling Gleam,Psychic,Giga Drain,Synthesis
Florges,Beauty Jessica,70,Moonblast,Psychic,Double Team,Protect
Florges,Cool Trainer Julie & Dianne,94,Dazzling Gleam,Psychic,Pollen Puff,Calm Mind
Florges,Cool Trainer Wendy & Braxton,95,Moonblast,Dazzling Gleam,Pollen Puff,Aromatherapy
Flygon,Winstrate Vivi,43,Dragon Claw,Scorching Sands,Flamethrower,Roost
Flygon,Battle Girl Danielle,56,Earthquake,Scale Shot,Fire Blast,Giga Drain
Flygon,Bird Keeper Perry & Chester,60,Earthquake,Dragon Claw,Dragon Dance,Roost
Flygon,Team Magma Grunt Magma Hideout #10,74,Earthquake,Scale Shot,Fire Punch,Dragon Dance
Forretress,Ninja Boy Gren,66,Gyro Ball,Explosion,Spikes,Toxic Spikes
Frillish,Team Aqua Grunt Museum #2,15,Hex,Water Pulse,Shock Wave,Recover
Froslass,Breeder Isaac,29,Ice Beam,Hex,Thunder Wave,Will-O-Wisp
Froslass,Beauty Jessica,71,Blizzard,Shadow Ball,Freeze-Dry,Spikes
Froslass,Breeder Gabrielle,73,Blizzard,Shadow Ball,Sing,Will-O-Wisp
Froslass,Team Aqua Grunt Seafloor Cavern #3,86,Freeze-Dry,Hex,Nasty Plot,Sing
Froslass,Guitarist Fernando & Jazmyn,95,Blizzard,Shadow Ball,Hex,Lovely Kiss
Frosmoth,Bug Catcher Greg,61,Ice Beam,Hurricane,Weather Ball,Substitute
Frosmoth,Sr. And Jr. Kim And Iris,84,Blizzard,Icy Wind,Infestation,Aurora Veil
Furfrou,Rich Boy Winston,21,Headbutt,Covet,Rock Smash,
Furfrou,Breeder Corgi,28,Return,Iron Tail,Play Rough,Attract
Furret,Breeder Myles,72,Double-Edge,Sucker Punch,Baton Pass,Swords Dance
Gallade,Psychic Jaclyn,33,Drain Punch,Psycho Cut,Shadow Sneak,Bulk Up
Gallade,Picnicker Angelina,49,Zen Headbutt,Drain Punch,Hypnosis,Will-O-Wisp
Gallade,Ruin Maniac Garrison & Jani,64,Close Combat,Zen Headbutt,Bulk Up,Trick Room
Gallade-Mega,Cool Trainer Caroline,95,Close Combat,Zen Headbutt,Poison Jab,Knock Off
Gallade-Mega,Black Belt Koichi,97,Close Combat,Zen Headbutt,Throat Chop,Hypnosis
Galvantula,Battle Girl Vivian,32,Thunderbolt,Signal Beam,Giga Drain,Hidden Power Ice
Galvantula,Bug Catcher Greg,62,Thunder,Bug Buzz,Disable,Sticky Web
Galvantula,Team Magma Grunt Magma Hideout#15,76,Thunder,Bug Buzz,Energy Ball,Sticky Web
Garbodor,Breeder Pat,70,Gunk Shot,Explosion,Seed Bomb,Drain Punch
Garchomp,Trainer Rival Lilycove Blaziken,72,Earthquake,Dual Chop,Fire Blast,Stealth Rock
Garchomp,Trainer Rival Lilycove Sceptile,72,Earthquake,Dual Chop,Fire Blast,Stealth Rock
Garchomp,Trainer Rival Lilycove Swampert,72,Earthquake,Dual Chop,Fire Blast,Stealth Rock
Garchomp,Magma Leader Maxie Magma Hideout,78,Earthquake,Scale Shot,Stone Edge,Swords Dance
Garchomp,Cool Trainer Samuel,93,Scale Shot,Earthquake,Stone Edge,Stealth Rock
Garchomp,Dragon Tamer Nicolas,95,Dual Chop,Iron Tail,Substitute,Swords Dance
Garchomp-Mega,Magma Leader Maxie Space Center,89,High Horsepower,Scale Shot,Stone Edge,Protect
Gardevoir,Trainer Rival Cycling Road Swampert,36,Moonblast,Psyshock,Icy Wind,Destiny Bond
Gardevoir,Ninja Boy Takashi & Dayton,62,Psychic,Dazzling Gleam,Energy Ball,Trick Room
Gardevoir,Ruin Maniac Garrison & Jani,64,Moonblast,Psychic,Calm Mind,Trick Room
Gardevoir,Psychic Preston & Maura,85,Moonblast,Icy Wind,Shadow Sneak,Helping Hand
Gardevoir-Mega,Trainer Wally VR,95,Psychic,Hyper Voice,Mystical Fire,Calm Mind
Gardevoir-Mega,Psychic Alix,97,Hyper Voice,Aura Sphere,Destiny Bond,Will-O-Wisp
Gastrodon,Ruin Maniac Bryan & Celia,45,Earth Power,Muddy Water,Ice Beam,Recover
Gastrodon,Bird Keeper Josue & Andres,64,Earth Power,Muddy Water,Ice Beam,Recover
Gastrodon,Trainer Rival Bridge Sceptile,66,Earth Power,Muddy Water,Icy Wind,Recover
Gastrodon,Triathlete Xayah,90,Earth Power,Weather Ball,Recover,Toxic
Genesect,Trainer Wally VR,95,Bug Buzz,Flash Cannon,Explosion,Flamethrower
Gengar,Twins Amy And Liv,39,Dream Eater,Hex,Substitute,Hypnosis
Gengar,Young Couple Brian And Casey,71,Sludge Wave,Shadow Ball,Aura Sphere,Protect
Gengar,Team Aqua Grunt Mt Pyre #3,74,Sludge Wave,Shadow Ball,Explosion,Dazzling Gleam
Gengar,Aqua Admin ShellySeafloorCavern,88,Sludge Wave,Shadow Ball,Destiny Bond,Mean Look
Gengar,Guitarist Fernando & Jazmyn,96,Sludge Wave,Shadow Ball,Focus Blast,Hypnosis
Gengar-Mega,Elite Four Phoebe,100,Sludge Wave,Shadow Ball,Focus Blast,Destiny Bond
Gengar-Mega,Elite Four PhoebeDouble,100,Sludge Wave,Shadow Ball,Focus Blast,Protect
Gigalith,Ruin Maniac Bryan & Celia,45,Stone Edge,Rock Slide,Body Press,Sand Tomb
Girafarig,Psychic Edward,33,Hyper Voice,Psyshock,Foul Play,Hypnosis
Giratina-Origin,Elite Four PhoebeDouble,100,Poltergeist,Dragon Pulse,Shadow Sneak,Flamethrower
Glaceon,Psychic William,73,Blizzard,Freeze-Dry,Mirror Coat,Barrier
Glaceon,Hex Maniac Gongas,95,Blizzard,Freeze-Dry,Hidden Power Ground,Calm Mind
Glalie,Ninja Boy Keigo,70,Freeze-Dry,Icy Wind,Explosion,Protect
Glalie-Mega,Leader Juan,93,Blizzard,Freeze-Dry,Return,Protect
Glastrier,Leader Juan,92,Glacial Lance,High Horsepower,Body Press,Facade
Gligar,Hiker Devan,25,Stomping Tantrum,Acrobatics,Sky Uppercut,Knock Off
Gliscor,Hiker Lucas,50,Earthquake,Facade,Protect,Roost
Gliscor,Hiker Eric & Autumn,52,High Horsepower,Acrobatics,Knock Off,Roost
Gliscor,Bird Keeper Josue & Andres,64,High Horsepower,Dual Wingbeat,Rock Slide,Swords Dance
Gliscor,Bird Keeper Darius,67,Earthquake,Dual Wingbeat,Sky Uppercut,Swords Dance
Gliscor,Team Aqua Grunt Aqua Hideout #7,79,Earthquake,Dual Wingbeat,Facade,Swords Dance
Gliscor,Triathlete Xayah,89,Earthquake,Acrobatics,Roost,Swords Dance
Gliscor,Cool Trainer Michelle,95,Earthquake,Facade,Knock Off,Stealth Rock
Gloom,Lass Haley,21,Sludge,Magical Leaf,Sleep Powder,Strength Sap
Gogoat,Camper Drew,45,Horn Leech,Earthquake,Rock Slide,Leech Seed
Gogoat,Team Aqua Grunt Aqua Hideout #5,80,Horn Leech,Earthquake,Iron Tail,Rock Slide
Golduck,Fisherman Dale,32,Hydro Pump,Cross Chop,Ice Beam,Psychic
Golduck,Picnicker Ashley,67,Surf,Psyshock,Ice Beam,Hypnosis
Golduck,Psychic Kayla,75,Hydro Pump,Focus Blast,Ice Beam,Psychic
Golduck,Gentleman Clifford & Macey,85,Aqua Jet,Cross Chop,Zen Headbutt,Role Play
Golem,Ninja Boy Jinra,43,Earthquake,Rock Slide,Focus Punch,Seismic Toss
Golem,Cool Trainer Halle,95,Earthquake,Stone Edge,Explosion,Stealth Rock
Golem,Guitarist Fernando & Jazmyn,95,Earthquake,Stone Edge,Rock Slide,Explosion
Golem-Alola,Youngster Ben,34,Earthquake,Explosion,Body Slam,Fire Punch
Golem-Alola,Camper Drew,44,Head Smash,Wild Charge,Explosion,Earthquake
Golett,Battle Girl Jocelyn,19,Shadow Punch,Mega Punch,Drain Punch,
Golisopod,Cool Trainer Wilton,43,First Impression,Liquidation,Leech Life,Rock Slide
Golisopod,Fisherman Kai,48,First Impression,Liquidation,Leech Life,Aqua Jet
Golisopod,Ranger Lorenzo,69,First Impression,Liquidation,Leech Life,Knock Off
Golisopod,Cool Trainer Julie & Dianne,94,First Impression,Liquidation,Leech Life,Knock Off
Golurk,Cool Trainer Mary,39,Earthquake,Stone Edge,Mega Kick,Dynamic Punch
Golurk,Bird Keeper Coby,45,Earthquake,Shadow Punch,Hammer Arm,Stealth Rock
Golurk,Battle Girl Danielle,56,Earthquake,Shadow Punch,Heat Crash,Block
Goodra,Parasol Lady Koko,60,Dragon Claw,Aqua Tail,Curse,Rest
Goodra,Trainer Rival Bridge Sceptile,65,Dragon Pulse,Thunder,Muddy Water,Rest
Goodra,Team Aqua Grunt Aqua Hideout #7,80,Dragon Tail,Aqua Tail,Body Press,Curse
Goodra,Swimmer♀ Katie,88,Breaking Swipe,Aqua Tail,Curse,Rest
Goodra,Cool Trainer Edgar,94,Dragon Pulse,Earthquake,Weather Ball,Counter
Goodra-Hisui,Beauty Bridget,91,Dragon Tail,Heavy Slam,Earthquake,Curse
Goodra-Hisui,Dragon Tamer Nicolas,95,Dragon Pulse,Heavy Slam,Fire Blast,Body Press
Goodra-Hisui,Champion Wallace,100,Heavy Slam,Aqua Tail,Curse,Rest
Gorebyss,Fisherman Wade,59,Surf,Ice Beam,Psychic,Shell Smash
Gorebyss,Team Aqua Grunt Seafloor Cavern #1,87,Surf,Ice Beam,Psychic,Shell Smash
Gorebyss,Cool Trainer Shannon,94,Surf,Ice Beam,Baton Pass,Shell Smash
Gothitelle,Breeder Lydia,26,Psychic,Draining Kiss,Calm Mind,Rest
Gothitelle,Twins Tori And Tia,44,Psychic,Signal Beam,Fake Out,Hypnosis
Gothitelle,Ranger Jenna,70,Psychic,Thunderbolt,Mystical Fire,Grass Knot
Gothitelle,Psychic Cedric,74,Psychic,Energy Ball,Thunderbolt,Shadow Ball
Gothitelle,Psychic Virgil & Nate,85,Psychic,Stored Power,Signal Beam,Fake Out
